countryname,ccode,iso3c,basename,lat,lon,base,lilypad,fundedsite
Oman,698,OMN,Masirah AB,20.662694,58.889231,1,0,0
Oman,698,OMN,"Salalah Port, Rasut",16.937528,54.01158,1,0,0
Oman,698,OMN,Seeb,23.602918,58.281502,1,0,0
Oman,698,OMN,Thumrait,17.666944,54.032778,1,0,0
Oman,698,OMN,"Mina Qabus, Muscat",23.628056,58.567778,1,0,0
Oman,698,OMN,Al Mussanah AB,23.6273006,57.4907601,1,0,0
Pakistan,770,PAK,Shahbaz/Jacobabad,28.284538,68.457576,0,1,0
Pakistan,770,PAK,Chaklala,33.616389,73.099167,0,1,0
Pakistan,770,PAK,Tarbela,34.089311,72.699284,0,1,0
Pakistan,770,PAK,Peshawar,34.014627,71.571293,0,1,0
Pakistan,770,PAK,Pasni,25.29506,63.347172,0,1,0
Pakistan,770,PAK,Islamabad,33.70346,73.083701,0,1,0
Panama,95,PAN,Summit,9.0461965,-79.512991,0,0,1
Panama,95,PAN,Puerto Obaldia,8.667103,-77.420606,0,0,1
Panama,95,PAN,Puerto Pina,7.5832701,-78.1796112,0,0,1
Panama,95,PAN,Isla Grande,9.630496,-79.565527,0,0,1
Panama,95,PAN,Punta Coco,8.227555,-78.90509,0,0,1
Panama,95,PAN,La Palma,8.286023,-78.182079,0,0,1
Peru,135,PER,Lima,-12.047816,-77.062203,0,1,0
Peru,135,PER,Tarapoto,-6.496591,-76.37249,0,0,1
Peru,135,PER,Puno,-15.84826,-70.019337,0,1,0
Peru,135,PER,"IMF Santa Rosa, Iquitos",-3.744344,-73.26131,0,1,1
Peru,135,PER,"Cecopaz, Ancon",-12.063471,-76.999831,0,0,1
Philippines,840,PHL,"Camp Navarro, Zamboanga City , Mindanao (JSOTF-P)",6.952438,122.126041,0,1,0
Philippines,840,PHL,Subic,14.822702,120.276508,0,1,0
Philippines,840,PHL,Clark,15.186718,120.558402,0,1,0
Philippines,840,PHL,"SF FOB Jolo, Sulu (CSL)",6.056479,121.012845,0,1,0
Philippines,840,PHL,"Camp inside Camp Aguinaldo, Manila",14.607638,121.063244,0,1,0
Philippines,840,PHL,Camp Malagutay,6.928294,122.022565,0,1,0
Poland,290,POL,Lask AB,51.559773,19.173033,0,1,0
Poland,290,POL,Redzikowo,54.473308,17.111021,0,1,0
Portugal,235,PRT,Lajes field,38.7617,-27.095,1,0,0
Puerto Rico,2,USA,Fort Buchanan,18.412716,-66.121957,1,0,0
Puerto Rico,2,USA,"Roosevelt Roads Naval Station, Cieba",18.239406,-65.649776,1,0,0
Puerto Rico,2,USA,"Capt E. Rubio USARC, Puerto Nuevo",18.410489,-66.082924,1,0,0
Puerto Rico,2,USA,"Fort Allen, Juana Diaz",18.007621,-66.504189,1,0,0
Puerto Rico,2,USA,Isabela N00207-AB,18.462925,-67.066925,1,0,0
Puerto Rico,2,USA,Naval Radio Transmitter Facility Aguada,18.398611,-67.177222,1,0,0
Puerto Rico,2,USA,Salinas N00207-JA,18.004377,-66.278605,1,0,0
Puerto Rico,2,USA,Luis Munoz Marin IAP,18.439167,-66.001944,1,0,0
Puerto Rico,2,USA,"Mount Pirata, Vieques",NA,NA,1,0,0
Puerto Rico,2,USA,MTA Camp Santiago Rq,18.007111,-66.289646,1,0,0
Puerto Rico,2,USA,NSGA Sabana Seca,18.43004,-66.189007,1,0,0
Puerto Rico,2,USA,Pico Del Este - AFWTF,18.211485,-65.736512,1,0,0
Puerto Rico,2,USA,Pineros Island,18.252155,-65.591137,1,0,0
Puerto Rico,2,USA,Punta Borinquen Radar Site,18.485034,-67.148746,1,0,0
Puerto Rico,2,USA,Punta Salinas Radar Site,18.47483,-66.18242,1,0,0
Puerto Rico,2,USA,Ramey AF Solar Observatory Research Site,18.509421,-67.099153,1,0,0
Puerto Rico,2,USA,Ramey USARC/Aquadilla,18.41047,-67.154153,1,0,0
Puerto Rico,2,USA,Roosevelt Rds Nav Sta USARC,18.229103,-65.609241,1,0,0
Puerto Rico,2,USA,Vieques West,18.139258,-65.290145,1,0,0
Qatar,694,QAT,Al Udeid AB,25.117222,51.314722,1,0,0
Qatar,694,QAT,As Sayliyah AB,25.1878712,51.4122936,1,0,0
Qatar,694,QAT,Umm Said,24.996466,51.548932,1,0,0
Qatar,694,QAT,Camp Al Karana,25.1878712,51.4122936,1,0,0
Qatar,694,QAT,Falcon-78 ammunition storage,25.25553,50.957647,1,0,0
Romania,360,ROU,Mihail Kogalniceanu (MK) AB,44.362222,28.488333,1,0,0
Romania,360,ROU,Deveselu,44.077708,24.416968,1,0,0
Romania,360,ROU,Babadag Training Base,44.898056,28.741944,1,0,0
